id,text,source,time
1,Love the new dark mode but it sometimes resets to light,google play comments,2024-01-15 14:30:22
2,Support response times are too slow,intercom,2024-01-15 16:45:18
3,The onboarding flow is confusing and needs tooltips,app store reviews,2024-01-16 09:12:45
4,Billing page loads slowly on mobile,intercom,2024-01-16 11:28:33
5,Please add export to CSV feature,google play comments,2024-01-16 15:20:11
6,App crashes every time I try to upload a photo,app store reviews,2024-01-17 08:45:29
7,The search functionality is amazing and fast,google play comments,2024-01-17 12:15:42
8,Customer service was very helpful with my billing issue,intercom,2024-01-17 14:33:56
9,Notifications are too frequent and annoying,app store reviews,2024-01-18 10:22:18
10,Love the new dashboard design,google play comments,2024-01-18 13:47:25
11,Can't sync my data across devices,intercom,2024-01-18 16:55:12
12,The app uses too much battery life,app store reviews,2024-01-19 07:30:44
13,Great new features in the latest update,google play comments,2024-01-19 11:18:37
14,Login process is too complicated,intercom,2024-01-19 15:42:19
15,Export feature works perfectly,app store reviews,2024-01-20 09:25:53
16,App freezes when switching between tabs,google play comments,2024-01-20 12:38:26
17,The interface is clean and intuitive,app store reviews,2024-01-20 16:14:48
18,Need better offline functionality,intercom,2024-01-21 08:52:31
19,Payment processing is seamless,google play comments,2024-01-21 14:27:15
20,Too many ads interrupting my workflow,app store reviews,2024-01-21 17:35:42
21,The tutorial was very helpful,intercom,2024-01-22 10:15:28
22,App takes forever to load on startup,google play comments,2024-01-22 13:48:56
23,Love the customizable themes,app store reviews,2024-01-22 16:22:14
24,Chat support is unresponsive,intercom,2024-01-23 09:37:23
25,The new analytics feature is incredible,google play comments,2024-01-23 12:55:47
26,Can't find the settings menu,app store reviews,2024-01-23 15:18:32
27,Data sync works flawlessly,intercom,2024-01-24 08:44:19
28,App crashes when trying to share content,google play comments,2024-01-24 11:26:54
29,The design is modern and beautiful,app store reviews,2024-01-24 14:39:21
30,Need more language options,intercom,2024-01-25 10:12:45
31,Performance has improved significantly,google play comments,2024-01-25 13:33:18
32,Too many permission requests,app store reviews,2024-01-25 16:47:52
33,The help documentation is comprehensive,intercom,2024-01-26 09:21:36
34,App doesn't work on older devices,google play comments,2024-01-26 12:54:29
35,Love the new keyboard shortcuts,app store reviews,2024-01-26 15:16:43
36,Can't restore my purchases,intercom,2024-01-27 08:38:17
37,The loading animations are smooth,google play comments,2024-01-27 11:45:32
38,Need better search filters,app store reviews,2024-01-27 14:28:56
39,Customer support resolved my issue quickly,intercom,2024-01-28 10:52:14
40,App consumes too much storage space,google play comments,2024-01-28 13:17:48
41,The new widgets are fantastic,app store reviews,2024-01-28 16:34:25
42,Login keeps failing with correct credentials,intercom,2024-01-29 09:43:37
43,Love the minimalist design approach,google play comments,2024-01-29 12:26:19
44,Need dark mode for all screens,app store reviews,2024-01-29 15:48:52
45,The app is very stable and reliable,intercom,2024-01-30 08:15:33
46,Too many popup notifications,google play comments,2024-01-30 11:37:46
47,The new sharing options are great,app store reviews,2024-01-30 14:52:28
48,Can't access my account after password reset,intercom,2024-01-31 10:24:15
49,The app loads much faster now,google play comments,2024-01-31 13:41:59
50,Need better error messages,app store reviews,2024-01-31 16:18:42
51,Love the new collaboration features,intercom,2024-02-01 09:35:27
52,App crashes when opening large files,google play comments,2024-02-01 12:47:13
53,The interface is very user-friendly,app store reviews,2024-02-01 15:29:56
54,Support tickets take weeks to resolve,intercom,2024-02-02 08:52:34
55,The new update fixed all my issues,google play comments,2024-02-02 11:16:48
56,Need more customization options,app store reviews,2024-02-02 14:33:21
57,The app works perfectly offline,intercom,2024-02-03 10:45:17
58,Too many bugs in the latest version,google play comments,2024-02-03 13:28:52
59,Love the new color schemes,app store reviews,2024-02-03 16:14:39
60,Can't sync with my calendar,intercom,2024-02-04 09:37:25
61,The performance is excellent,google play comments,2024-02-04 12:51:43
62,Need better accessibility features,app store reviews,2024-02-04 15:26:18
63,Customer service was very professional,intercom,2024-02-05 08:43:56
64,App drains battery too quickly,google play comments,2024-02-05 11:19:34
65,The new layout is much better,app store reviews,2024-02-05 14:42:27
66,Can't import my existing data,intercom,2024-02-06 10:15:48
67,Love the new notification system,google play comments,2024-02-06 13:36:21
68,The app is too complex for beginners,app store reviews,2024-02-06 16:23:45
69,The backup feature works great,intercom,2024-02-07 09:48:32
70,Too many crashes on iOS 15,google play comments,2024-02-07 12:34:19
71,The new icons look amazing,app store reviews,2024-02-07 15:17:53
72,Need better integration with other apps,intercom,2024-02-08 08:52:26
73,The app is very responsive,google play comments,2024-02-08 11:25:14
74,Can't find the help section,app store reviews,2024-02-08 14:38:47
75,Love the new privacy settings,intercom,2024-02-09 10:12:35
76,App freezes during video playback,google play comments,2024-02-09 13:45:28
77,The design is consistent across all screens,app store reviews,2024-02-09 16:29:16
78,Support team is not knowledgeable,intercom,2024-02-10 09:41:52
79,The new search algorithm is much better,google play comments,2024-02-10 12:18:43
80,Need more keyboard shortcuts,app store reviews,2024-02-10 15:34:27
81,The app handles large files well,intercom,2024-02-11 08:27:19
82,Too many unnecessary features,google play comments,2024-02-11 11:53:46
83,Love the new dashboard widgets,app store reviews,2024-02-11 14:16:32
84,Can't connect to the server,intercom,2024-02-12 10:38:25
85,The loading times are much improved,google play comments,2024-02-12 13:22:18
86,Need better error handling,app store reviews,2024-02-12 16:45:54
87,The new update added great features,intercom,2024-02-13 09:14:37
88,App crashes when switching users,google play comments,2024-02-13 12:31:42
89,The interface is intuitive and clean,app store reviews,2024-02-13 15:48:29
90,Support response is too slow,intercom,2024-02-14 08:25:16
91,Love the new file organization system,google play comments,2024-02-14 11:42:53
92,The app is too expensive for what it offers,app store reviews,2024-02-14 14:17:38
93,The sync feature works perfectly,intercom,2024-02-15 10:33:21
94,Too many ads in the free version,google play comments,2024-02-15 13:56:47
95,The new themes are beautiful,app store reviews,2024-02-15 16:24:15
96,Can't access premium features after payment,intercom,2024-02-16 09:47:32
97,The app is very stable,google play comments,2024-02-16 12:15:28
98,Need better mobile experience,app store reviews,2024-02-16 15:38:44
99,Love the new collaboration tools,intercom,2024-02-17 08:52:17
100,App doesn't work on Android 12,google play comments,2024-02-17 11:26:35
101,The new UI is much more modern,app store reviews,2024-02-17 14:43:52
102,Support team doesn't understand the issue,intercom,2024-02-18 10:18:29
103,The performance improvements are noticeable,google play comments,2024-02-18 13:35:46
104,Need more export formats,app store reviews,2024-02-18 16:21:33
105,Love the new security features,intercom,2024-02-19 09:44:18
106,App crashes when uploading multiple files,google play comments,2024-02-19 12:17:54
107,The design is very professional,app store reviews,2024-02-19 15:32:27
108,Can't restore from backup,intercom,2024-02-20 08:49:13
109,The new update is fantastic,google play comments,2024-02-20 11:25:41
110,Too many steps to complete simple tasks,app store reviews,2024-02-20 14:38:56
111,The app integrates well with other tools,intercom,2024-02-21 10:12:34
112,App uses too much data,google play comments,2024-02-21 13:47:19
113,Love the new notification customization,app store reviews,2024-02-21 16:24:52
114,Need better offline mode,intercom,2024-02-22 09:36:28
115,The interface is very smooth,google play comments,2024-02-22 12:53:15
116,Can't find the settings I need,app store reviews,2024-02-22 15:18:47
117,The new sharing features are excellent,intercom,2024-02-23 08:41:23
118,App freezes on startup,google play comments,2024-02-23 11:27:56
119,The new layout is much more organized,app store reviews,2024-02-23 14:45:32
120,Support is not available on weekends,intercom,2024-02-24 10:19:48
121,Love the new analytics dashboard,google play comments,2024-02-24 13:34:17
122,The app is too slow on older phones,app store reviews,2024-02-24 16:52:29
123,The new update fixed many bugs,intercom,2024-02-25 09:16:42
124,Need more customization for notifications,google play comments,2024-02-25 12:38:15
125,The design is very elegant,app store reviews,2024-02-25 15:21:53
126,Can't sync with cloud storage,intercom,2024-02-26 08:44:37
127,The app handles errors gracefully,google play comments,2024-02-26 11:17:24
128,Too many popups asking for permissions,app store reviews,2024-02-26 14:33:48
129,Love the new file preview feature,intercom,2024-02-27 10:26:19
130,App crashes when editing large documents,google play comments,2024-02-27 13:49:35
131,The new interface is much cleaner,app store reviews,2024-02-27 16:15:52
132,Need better search functionality,intercom,2024-02-28 09:32:28
133,The performance is outstanding,google play comments,2024-02-28 12:48:14
134,Can't access my data after update,app store reviews,2024-02-28 15:24:46
135,The new collaboration features are amazing,intercom,2024-02-29 08:37:21
136,App drains battery even when not in use,google play comments,2024-02-29 11:52:43
137,Love the new color customization options,app store reviews,2024-02-29 14:18:37
138,Support team is very unhelpful,intercom,2024-03-01 10:45:29
139,The new update improved everything,google play comments,2024-03-01 13:21:16
140,Need more keyboard navigation options,app store reviews,2024-03-01 16:38:54
141,The app is very reliable,intercom,2024-03-02 09:14:42
142,Too many unnecessary animations,google play comments,2024-03-02 12:47:28
143,Love the new dashboard layout,app store reviews,2024-03-02 15:33:15
144,Can't connect to the internet,intercom,2024-03-03 08:26:49
145,The new features are very useful,google play comments,2024-03-03 11:42:36
146,The app is too complicated to use,app store reviews,2024-03-03 14:19:23
147,The sync speed is much faster now,intercom,2024-03-04 10:35:17
148,App crashes when switching between accounts,google play comments,2024-03-04 13:58:44
149,The new design is very modern,app store reviews,2024-03-04 16:24:31
150,Need better integration with email,intercom,2024-03-05 09:41:58
